Benedicto College ,,,,,,
Foreign References ,,,,,,
"As of March 16, 2023",,,,,,
,,,,,,
AUTHOR,TITLE,COPYRIGHT ,PUBLISHER,NO. OF COPIES,,
"Malik, D.S.",Discrete Mathematics: Theory and Applications ,2014,Cengage Learning ,1,,
"Huinker, DeAnn M.",Investigations in Mathematics for Elementary Teachers ,1991,D.C. Health and Company ,1,,
"Fuller, Gordon","College Algebra, 4th ed.",1977,Litton Educational ,1,,
"Hart, William L.","College Algebra, 4th ed.",1964,D.C. Health and Company ,1,,
"Johnston, C.L.","Essential Algebra, 6th ed.",1991,Wadsworth ,1,,
"Larson, Ron",College Algebra ,2014,Cengage Learning ,1,,
"Cohen, David","Algebra and Trigonometry, 3rd ed.",1992,West Publishing Co.,1,,
"Cohen, David","Pre Calculus with Unit-Circle Trigonometry, 3rd ed.",1998,Brooks/Cole,1,,
"Leithold, Louis",Trigonometry ,1989,Addison-Wesley ,5,,
"Leithold, Louis",College Algebra ,1989,Addison-Wesley ,2,,
"Munem, M.A.","Study Guide to Accompany Algebra and Trigonometry with Applications, 2nd ed.",1986,Worth Publishers ,1,,
"Stewart, James","Calculus Metric Edition, 7th ed.",2013,Cengage Learning ,1,,
"Stewart, James","Algebra and Trigonometry, 2nd ed.",2007,Brooks/Cole,3,,
"Sullivan, Michael ","College Algebra and Trigonometry, 2nd ed.",1990,Dellen Publishing ,1,,
"Heuvers, Konrad J.",Linear Algebra for Calculus,1991,Wadsworth ,1,,
"Larson, Ron",Linear Algebra ,2012,Cengage Learning ,1,,
"Pelletier, Donald H.",Linear Algebra: A Comprehensive Introduction ,1986,Prentice-Hall ,1,,
"Williams, Gareth","Linear Algebra with Applications, 2nd ed.",1991,Wm. C. Brown,1,,
"Bittinger, Marvin L.","Intermediate Algebra: Concepts and Applications, 4th ed.",1995,Addison-Wesley ,1,,
"Keedy, Mervin L.","Introduction Algebra, 4th ed.",1983,Addison-Wesley ,1,,
"Keedy, Mervin L.","A Problem-Solving Approach to Intermediate Algebra, 2nd ed.",1986,Addison-Wesley ,1,,
"Keedy, Mervin L.","Introductory Algebra Teacher's Edition, 6th ed.",1991,Addison-Wesley ,1,,
"Nanney, J. Louis",Preparation for Algebra ,1993,Wm. C. Brown,1,,
"Stewart, James ",College Algebra ,2011,Cengage Learning ,1,,
"Dubisch, Roy","Basic Concepts of Mathematics for Elementary Teachers, 2nd ed.",1981,Addison-Wesley ,1,,
"Barnett, Raymond A.","Calculus: For Business, Economics, Life Science, and Social Sciences, 9th ed.",2003,Pearson Education ,3,,
"Coughlin, Raymond F.",Calculus with Applications ,1989,Saunders,1,,
"Leithold, Louis ",The Calculus 7,2002,Pearson Education ,1,,
"Lial, Margaret L.","Calculus with Applications Brief Version, 10th ed.",2012,Pearson Education ,1,,
"Draper, Jean E.","Mathematical Analysis Business and Economic Applications, 2nd ed.",1972,Harper & Row,1,,
"Borrelli, Robert L.",Differential Equations: A Modeling Perspective ,1998,John Wiley & Sons,1,,
