"Alagaran, Jose Reuben Q.",Medid And Information Literacy; Empower the Discerning Audiences ,2017,Abiva Publication ,1,
"Dimilanta, Roel Benavidez",Freeing the Writer in You; Campus Journalism for the 21st Century Learners ,2016,St. Augustine Publishing ,1,
"Hidalgo, Ligaya C.",Media Trends; Importance of  New Media Technology to Modern Filipinos,2015,Don Bosco Press,1,
,"Computer Programming Volume I: Teacher's Resource Material, 1st ed.",2016,Rex Book Store,1,
,,,,,
,,,,,
"De Guzman, Danilo",STATISTIC & PROBABILITY,2017,C & E Publishing ,3,
"Reston, Enriqueta D.",Seeing the World Through Statistic and Probability,2017,SoLINE Publishing ,1,
"Melantos, Luis Allan B.",Math Connections in the Digital Age: Statistic and Probability,2016,Sibs Publishing ,1,
"Lim, Yvette F.",STATISTIC & PROBABILITY: MATH for ENGAGED LEARNING ,2016,Sibs Publishing ,1,
"Baccay, Elisa S.",STATISTIC AND PROBABILITY,2019,Rex Book Store,1,
"Parreno, Elizabeth B.",BASIC STATISTIC: A Woorktext,2006,C & E Publishing ,1,
Remoto Ocampo Shirlee,"PROBABILITY, STATISTICS,and APPLICATIONS",2017,ABIVA ,1,
"Dumayas Matira, Myrna",DATA HANDLING: ESSENTIALS OF STATISTICS AND PROBABILITY FOR THE 21ST CENTURY LEARNERS,2016,St. Augustine,1,
"Albert, Jose Ramon G.",STATISTIC AND PROBABILITY: CORE SUBJECT,2016,CHED,1,
,,,,,
"Pascua, Rosalinda S.",Technical vocational livelihood: Food Processing,2016,Phoenix Publishing ,1,
"Gatungay, Junal O. ",Introduction to MARITIME SAFETY,2017,Phoenix Publishing ,1,
"Versoza, Raquel F.",TLE-TVL: Travel Services,2016,Phoenix Publishing ,1,
"Nieves, Grace R.",TLE-TVL: Bread and Pastry Production,2016,Phoenix Publishing ,1,
"Papa, Richard",Technical vocational livelihood: Fashion Design,2017,Phoenix Publishing ,1,
"Morano Sulla, Rose Ann",TLE-TVL: Food and Beverages Services,2016,Phoenix Publishing ,1,
"Jerusalem, Leo Benjamin L.",FOOD AND BEVERAGES SERVICES (NC II),2017,Fastbook Publishing ,1,
"Bejarasco, Carlo B.",Technical vocational livelihood: Caregiving,2016,Phoenix Publishing ,1,
"Versoza, Raquel F.",TLE-TVL: Local Guiding Services,2016,Phoenix Publishing ,1,
"Odal, Teri Orlan C. ",Introduction to MARITIME Career,2017,Phoenix Publishing ,1,
"Queja, Jovelyn S.",Technical vocational livelihood: Consumer Electronics Servicing,2016,Phoenix Publishing ,1,
"Ebonite, Romeo S.","DOMESTIC REFRIGERATION AND AIR-CONDITIONING SERVICING, V.1",2016,Rex Bookstore,1,
"Inong,Philip Albert Francis V. ",Introduction to MARINE Transportation and Engineering,2017,Phoenix Publishing ,1,
"Urbiztondo, Laarni A.",HOUSEKEEPING,2016,Rex Bookstore,1,
"Vivas, Jennifer F.",TLE-TVL: Housekeeping,2016,Phoenix Publishing ,1,
"Caronan, Mary Grace D.","HOUSEKEEPING FUNDAMENTALS, 1st ed.",2017,Mindshapers,2,
,,,,,
"Silverio, Angelina A.",Exploring Life Through Science: GENERAL PHYSICS 1,2017,Phoenix Publishing ,2,
"Duka, Ivan Marcelo A.",Earth and Life Science: Teaching Guide,2016,CHED,1,
"De Silva, Leopoldo ",Earth and Life Science: Teaching Guide,2016,CHED,1,
"Sia, Shila Rose D.",Earth and Life Science,2016,Sibs Publishing ,3,
"Cadiz, Arlon P.",Fundamentals of Eart Science,2016,Mindshapers,1,
,Earth and Life Science (Ph ed),2016,Rex Book Store,1,
"Peña, Manolo G.",Science Connects,2018,Gintong Aral Publishing ,1,
"Cadiz, Arlon P.",Fundamentals of Earth & Life Science,2017,Mindshapers,1,
"Duyanen, Joselito P.",Earth and Life Sciences,2016,C & E Publishing ,7,
"Nucum, Zenaida T.",Earth Science,2016,Book Atbp. Publishing ,1,
